архит	arkhit
арчиб	archib
балхар	balkhar
гельмец	gelmets
дарваг	darvag
джавгат	dzhavgat
доргели	dorgeli
дуранги	durangi
дюбек	dyubek
ерси	yersi
зило	zilo
кижани	kizhani
кина	kina
куг	kug
кули	kuli
лака	laka
маллакент	mallakent
мегеб	megeb
мукар	mukar
обох	obokh
риквани	rikvani
рича	richa
туменлер	tumenler
убеки	ubeki
ури	uri
хив	khiv
хиттаб	khittab
цуликана	tsulikana
цухта	tsukhta
чабанмахи	chabanmakhi
чанкурбе	chankurbe
чираг	chirag
читаб	chitab
чумли	chumli
чуни	chuni
шалиб	shalib
шангода	shangoda
шукты	shukty
янгикент	yangikent
айникаб	ainikab
алчуниб	alchunib
исмаил кутаны (дахадаевский р-н)	ismail
калиб	kalibкесер	lesser
кубатль	kubatl
хилих	khilikhхиттаб	khittab
хутор убеки	ubeki
н.убеки	ubeki